Num,Label,Value,Parm_StDev
157,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1993,-0.195192,0.598058
158,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1994,-0.419967,0.715424
159,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1995,1.82133,0.601929
160,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1996,0.903453,0.609606
161,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1997,-0.481312,0.632621
162,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1998,0.833366,0.531371
163,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_1999,-0.068393,0.477868
164,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2000,1.22607,0.423374
165,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2001,-0.90316,0.619183
166,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2002,-0.894445,0.479652
167,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2003,0.436899,0.41439
168,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2004,1.03195,0.469292
169,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2005,-0.261529,0.612929
170,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2006,0.834785,0.536819
171,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2007,0.565839,0.448177
172,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2008,1.00838,0.499388
173,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2009,-0.225078,0.539092
174,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2010,-0.780651,0.510438
175,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2011,-0.608735,0.58556
176,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2012,-0.760343,0.788481
177,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2013,-1.0376,0.692545
178,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2014,-0.609011,0.653474
179,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2015,-0.0363653,0.644659
180,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2016,-0.490633,0.658719
181,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2017,-0.20822,0.621384
182,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2018,-0.536467,0.68899
183,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2019,-0.484718,0.742803
184,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2020,0.5911,0.890203
185,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2021,0.469055,0.915334
186,Size_DblN_ascend_se_FshTrawl(1)_DEVmult_2022,0.587736,0.871947
187,Size_DblN_descend_se_FshTrawl(1)_DEVmult_1991,2.02E-06,1
188,Size_DblN_descend_se_FshTrawl(1)_DEVmult_1992,2.40E-06,1
